F1,season,variety_a,variety_b,variety_c,year,best,worst,var_a,var_b,var_c,elevation,Tnmax,best1,worst1,middle1
1,Apante-2015,INTA Rojo,PM2 Don Rey,INTA Ferroso,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
2,Apante-2015,BRT 103-182,INTA Matagalpa,PM2 Don Rey,2015,A,B,Better,Worse,Worse,382,18.23,,,
3,Apante-2015,ALS 0532-6,INTA Ferroso,SJC 730-79,2015,B,A,Worse,Worse,Worse,382,18.23,,,
4,Apante-2015,INTA Rojo,INTA Centro Sur,INTA Precoz,2015,C,A,Worse,Worse,Better,446,18.38333333,,,
5,Apante-2015,SJC 730-79,INTA Matagalpa,INTA Ferroso,2015,B,A,Worse,Better,Better,382,18.23,,,
6,Apante-2015,INTA Rojo,ALS 0532-6,INTA Centro Sur,2015,B,C,Worse,Better,Worse,382,18.23,,,
7,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Worse,446,18.38333333,,,
8,Apante-2015,SJC 730-79,INTA Centro Sur,ALS 0532-6,2015,B,C,Worse,Better,Worse,382,18.23,,,
9,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Rojo,2015,C,A,Worse,Worse,Worse,411,18.23666667,,,
10,Apante-2015,ALS 0532-6,SJC 730-79,INTA Matagalpa,2015,B,C,Worse,Better,Worse,446,18.38333333,,,
11,Apante-2015,PM2 Don Rey,INTA Centro Sur,INTA Rojo,2015,B,A,Worse,Better,Worse,382,18.23,,,
12,Apante-2015,BRT 103-182,INTA Fuerte Sequia,INTA Ferroso,2015,C,B,Worse,Better,Worse,576,17.87666667,,,
13,Apante-2015,INTA Precoz,SJC 730-79,INTA Matagalpa,2015,B,C,Worse,Worse,Better,382,18.23,,,
14,Apante-2015,INTA Rojo,INTA Matagalpa,SJC 730-79,2015,B,C,Worse,Better,Worse,410,18.17,,,
15,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Matagalpa,2015,B,A,Worse,Better,Worse,682,15.61,,,
16,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Better,839,16.06333333,,,
17,Apante-2015,ALS 0532-6,INTA Rojo,INTA Matagalpa,2015,A,C,Better,Worse,Worse,729,16.17,,,
18,Apante-2015,BRT 103-182,SJC 730-79,PM2 Don Rey,2015,C,B,Worse,Worse,Better,1074,15.36333333,,,
19,Apante-2015,SJC 730-79,INTA Rojo,INTA Precoz,2015,B,C,Worse,Better,Worse,297,18.54333333,,,
20,Apante-2015,PM2 Don Rey,SJC 730-79,ALS 0532-6,2015,A,C,Better,Worse,Worse,600,17.79,,,
21,Apante-2015,ALS 0532-6,INTA Centro Sur,INTA Matagalpa,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
22,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Ferroso,2015,C,A,Worse,Worse,Better,203,18.78333333,,,
23,Apante-2015,ALS 0532-6,INTA Precoz,BRT 103-182,2015,A,B,Better,Worse,Worse,316,18.63666667,,,
24,Apante-2015,INTA Matagalpa,INTA Centro Sur,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Better,394,18.01666667,,,
25,Apante-2015,INTA Rojo,INTA Precoz,ALS 0532-6,2015,A,B,Better,Better,Better,394,18.01666667,,,
26,Apante-2015,SJC 730-79,INTA Ferroso,INTA Fuerte Sequia,2015,A,B,Better,Worse,Better,394,18.01666667,,,
27,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Rojo,2015,B,A,Worse,Better,Worse,394,18.01666667,,,
28,Apante-2015,SJC 730-79,INTA Ferroso,INTA Centro Sur,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
29,Apante-2016,INTA Centro Sur,PM2 Don Rey,INTA Ferroso,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
30,Apante-2015,SJC 730-79,PM2 Don Rey,ALS 0532-6,2015,C,B,Worse,Worse,Better,742,15.63,,,
31,Apante-2015,INTA Precoz,INTA Fuerte Sequia,INTA Ferroso,2015,A,B,Better,Worse,Better,742,15.63,,,
32,Apante-2015,PM2 Don Rey,INTA Matagalpa,SJC 730-79,2015,A,C,Better,Worse,Worse,742,15.63,,,
33,Apante-2015,SJC 730-79,BRT 103-182,INTA Matagalpa,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
34,Apante-2015,BRT 103-182,ALS 0532-6,INTA Rojo,2015,C,B,Worse,Worse,Better,711,15.78333333,,,
35,Apante-2015,INTA Centro Sur,INTA Precoz,INTA Fuerte Sequia,2016,C,A,Worse,Worse,Better,711,15.78333333,,,
36,Apante-2015,INTA Precoz,INTA Fuerte Sequia,INTA Rojo,2015,B,A,Worse,Better,Worse,647,15.74333333,,,
37,Apante-2015,PM2 Don Rey,INTA Centro Sur,INTA Ferroso,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
38,Apante-2015,BRT 103-182,SJC 730-79,INTA Matagalpa,2015,A,C,Better,Worse,Worse,711,15.78333333,,,
39,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Rojo,2015,C,A,Better,Worse,Worse,742,15.63,,,
40,Apante-2015,INTA Ferroso,INTA Precoz,PM2 Don Rey,2015,A,C,Better,Worse,Worse,711,15.78333333,,,
41,Apante-2015,SJC 730-79,INTA Matagalpa,INTA Centro Sur,2015,C,A,Worse,Worse,Better,785,15.40333333,,,
42,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Rojo,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
43,Apante-2015,ALS 0532-6,INTA Ferroso,INTA Fuerte Sequia,2015,C,A,Better,Worse,Worse,785,15.40333333,,,
44,Apante-2015,PM2 Don Rey,INTA Centro Sur,SJC 730-79,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
45,Apante-2015,ALS 0532-6,INTA Ferroso,INTA Rojo,2015,C,B,Worse,Better,Worse,711,15.78333333,,,
46,Apante-2015,SJC 730-79,PM2 Don Rey,INTA Fuerte Sequia,2015,B,A,Worse,Better,Worse,711,15.78333333,,,
47,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Precoz,2015,A,B,Better,Worse,Worse,711,15.78333333,,,
48,Apante-2015,INTA Matagalpa,ALS 0532-6,INTA Rojo,2015,A,C,Better,Worse,Worse,742,15.63,,,
49,Apante-2015,INTA Ferroso,INTA Fuerte Sequia,SJC 730-79,2015,B,A,Worse,Better,Better,742,15.63,,,
50,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,SJC 730-79,2015,B,A,Worse,Better,Worse,742,15.63,,,
51,Apante-2015,INTA Precoz,ALS 0532-6,BRT 103-182,2015,C,B,Worse,Worse,Better,662,15.85,,,
52,Apante-2015,INTA Matagalpa,INTA Rojo,INTA Fuerte Sequia,2015,B,C,Worse,Better,Worse,711,15.78333333,,,
53,Apante-2015,SJC 730-79,INTA Centro Sur,INTA Ferroso,2015,C,B,Better,Worse,Better,742,15.63,,,
54,Apante-2015,INTA Matagalpa,ALS 0532-6,PM2 Don Rey,2015,A,B,Better,Worse,Better,394,18.01666667,,,
55,Apante-2015,INTA Rojo,ALS 0532-6,INTA Matagalpa,2015,B,C,Better,Worse,Better,711,15.78333333,,,
56,Apante-2015,SJC 730-79,INTA Ferroso,INTA Fuerte Sequia,2015,B,A,Worse,Worse,Better,711,15.78333333,,,
57,Apante-2015,INTA Centro Sur,PM2 Don Rey,INTA Precoz,2015,C,A,Worse,Worse,Better,662,15.85,,,
58,Apante-2015,BRT 103-182,INTA Matagalpa,ALS 0532-6,2015,A,B,Better,Worse,Worse,742,15.63,,,
59,Apante-2015,SJC 730-79,INTA Fuerte Sequia,INTA Rojo,2016,A,B,Better,Worse,Worse,423,18.64333333,,,
60,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Matagalpa,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
61,Apante-2015,INTA Ferroso,ALS 0532-6,INTA Precoz,2015,B,C,Better,Better,Better,394,18.01666667,,,
62,Apante-2015,SJC 730-79,INTA Fuerte Sequia,ALS 0532-6,2015,A,C,Worse,Worse,Worse,446,18.38333333,,,
63,Apante-2015,INTA Fuerte Sequia,INTA Precoz,SJC 730-79,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
64,Apante-2015,INTA Ferroso,INTA Matagalpa,INTA Centro Sur,2016,B,A,Worse,Worse,Better,463,17.91,,,
65,Apante-2015,ALS 0532-6,INTA Rojo,PM2 Don Rey,2015,C,A,Worse,Worse,Better,198,18.44333333,,,
66,Apante-2015,INTA Fuerte Sequia,INTA Precoz,BRT 103-182,2015,C,A,Worse,Worse,Better,742,15.63,,,
67,Apante-2015,INTA Matagalpa,SJC 730-79,INTA Precoz,2015,B,A,Worse,Better,Worse,711,15.78333333,,,
68,Apante-2015,BRT 103-182,INTA Rojo,PM2 Don Rey,2015,C,A,Worse,Worse,Worse,662,15.85,,,
69,Apante-2015,INTA Fuerte Sequia,INTA Precoz,SJC 730-79,2015,A,B,Better,Worse,Worse,662,15.85,,,
70,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Ferroso,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
71,Apante-2015,BRT 103-182,INTA Precoz,PM2 Don Rey,2016,B,A,Worse,Worse,Worse,711,15.78333333,,,
72,Apante-2015,INTA Ferroso,INTA Centro Sur,ALS 0532-6,2016,B,C,Worse,Worse,Worse,662,15.85,,,
73,Apante-2015,PM2 Don Rey,INTA Rojo,BRT 103-182,2016,A,C,Worse,Worse,Worse,711,15.78333333,,,
74,Apante-2015,INTA Matagalpa,INTA Ferroso,INTA Centro Sur,2015,C,B,Worse,Worse,Better,662,15.85,,,
75,Apante-2015,PM2 Don Rey,INTA Rojo,ALS 0532-6,2015,A,B,Worse,Worse,Worse,662,15.85,,,
76,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,BRT 103-182,2015,A,C,Better,Worse,Better,382,18.23,,,
77,Apante-2015,INTA Matagalpa,INTA Ferroso,PM2 Don Rey,2015,B,C,Better,Better,Better,394,18.01666667,,,
78,Apante-2015,INTA Fuerte Sequia,INTA Centro Sur,INTA Precoz,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
79,Apante-2015,INTA Matagalpa,PM2 Don Rey,SJC 730-79,2015,A,C,Better,Worse,Worse,382,18.23,,,
80,Apante-2015,ALS 0532-6,INTA Ferroso,BRT 103-182,2015,B,C,Worse,Worse,Better,406,18.03,,,
81,Apante-2015,INTA Rojo,INTA Centro Sur,INTA Fuerte Sequia,2015,B,A,Worse,Better,Better,382,18.23,,,
82,Apante-2015,INTA Ferroso,INTA Matagalpa,BRT 103-182,2015,A,C,Better,Worse,Worse,411,18.23666667,,,
83,Apante-2015,INTA Centro Sur,INTA Rojo,ALS 0532-6,2015,B,C,Better,Better,Better,382,18.23,,,
84,Apante-2015,INTA Fuerte Sequia,PM2 Don Rey,SJC 730-79,2015,B,C,Better,Better,Better,394,18.01666667,,,
85,Apante-2015,ALS 0532-6,INTA Matagalpa,INTA Rojo,2015,A,C,Better,Better,Better,382,18.23,,,
86,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Centro Sur,2015,A,C,Better,Worse,Worse,382,18.23,,,
87,Apante-2015,INTA Precoz,SJC 730-79,INTA Ferroso,2015,C,B,Worse,Better,Worse,382,18.23,,,
88,Apante-2015,BRT 103-182,INTA Matagalpa,INTA Rojo,2015,C,B,Better,Better,Better,382,18.23,,,
89,Apante-2015,INTA Precoz,INTA Ferroso,INTA Centro Sur,2015,B,A,Worse,Better,Better,382,18.23,,,
90,Apante-2015,SJC 730-79,BRT 103-182,INTA Matagalpa,2015,B,A,Worse,Better,Better,382,18.23,,,
91,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,INTA Rojo,2015,A,C,Better,Worse,Better,382,18.23,,,
92,Apante-2015,PM2 Don Rey,INTA Ferroso,INTA Centro Sur,2015,A,C,Better,Better,Better,382,18.23,,,
93,Apante-2015,INTA Precoz,INTA Matagalpa,SJC 730-79,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
94,Apante-2015,BRT 103-182,INTA Rojo,ALS 0532-6,2015,A,C,Better,Worse,Worse,446,18.38333333,,,
95,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Matagalpa,2015,A,C,Better,Better,Better,382,18.23,,,
96,Apante-2015,ALS 0532-6,BRT 103-182,SJC 730-79,2015,C,A,Worse,Better,Better,382,18.23,,,
97,Apante-2015,INTA Ferroso,INTA Rojo,INTA Fuerte Sequia,2015,A,C,Better,Worse,Better,382,18.23,,,
98,Apante-2015,INTA Centro Sur,INTA Matagalpa,PM2 Don Rey,2015,A,C,Better,Better,Better,382,18.23,,,
99,Apante-2015,INTA Fuerte Sequia,INTA Rojo,BRT 103-182,2015,A,C,Better,Better,Worse,394,18.01666667,,,
100,Apante-2015,INTA Centro Sur,INTA Fuerte Sequia,INTA Matagalpa,2015,A,C,Better,Better,Better,394,18.01666667,,,
101,Apante-2016,INTA Ferroso,INTA Fuerte Sequia,ALS 0532-6,2016,A,C,Better,Worse,Worse,954,15.00333333,,,
102,Apante-2015,SJC 730-79,PM2 Don Rey,INTA Rojo,2015,C,B,Worse,Better,Better,382,18.23,,,
103,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Fuerte Sequia,2015,A,C,Worse,Worse,Better,382,18.23,,,
104,Apante-2015,INTA Precoz,INTA Centro Sur,ALS 0532-6,2015,A,C,Worse,Worse,Worse,391,17.98333333,,,
105,Apante-2015,PM2 Don Rey,INTA Ferroso,SJC 730-79,2015,B,A,Worse,Better,Worse,382,18.23,,,
106,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Centro Sur,2015,A,C,Worse,Worse,Better,382,18.23,,,
107,Apante-2015,INTA Ferroso,PM2 Don Rey,INTA Precoz,2015,B,C,Better,Better,Better,391,17.98333333,,,
108,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,BRT 103-182,2015,B,C,Worse,Better,Worse,366,18.84333333,,,
109,Apante-2015,INTA Rojo,SJC 730-79,BRT 103-182,2015,B,C,Better,Better,Better,394,18.01666667,,,
110,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,ALS 0532-6,2015,A,C,Better,Worse,Worse,446,18.38333333,,,
111,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Centro Sur,2015,C,A,Worse,Worse,Better,571,18.07,,,
112,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,BRT 103-182,2015,A,C,Better,Worse,Worse,382,18.23,,,
113,Apante-2015,ALS 0532-6,INTA Centro Sur,PM2 Don Rey,2015,B,A,Worse,Worse,Worse,571,18.07,,,
114,Apante-2015,INTA Rojo,INTA Ferroso,INTA Precoz,2015,A,B,Better,Worse,Worse,571,18.07,,,
115,Apante-2015,BRT 103-182,INTA Fuerte Sequia,SJC 730-79,2015,B,C,Better,Better,Better,382,18.23,,,
116,Apante-2015,INTA Centro Sur,INTA Matagalpa,ALS 0532-6,2015,B,C,Better,Better,Worse,394,18.01666667,,,
117,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Rojo,2015,A,C,Better,Worse,Worse,382,18.23,,,
118,Apante-2015,SJC 730-79,PM2 Don Rey,INTA Matagalpa,2015,B,C,Worse,Better,Worse,198,18.44333333,,,
119,Apante-2015,BRT 103-182,SJC 730-79,INTA Ferroso,2015,B,C,Worse,Better,Worse,382,18.23,,,
120,Apante-2015,ALS 0532-6,INTA Centro Sur,INTA Fuerte Sequia,2015,B,C,Better,Worse,Worse,571,18.07,,,
121,Apante-2015,INTA Rojo,INTA Matagalpa,INTA Precoz,2015,B,A,Worse,Better,Worse,446,18.38333333,,,
122,Apante-2015,INTA Rojo,INTA Fuerte Sequia,INTA Precoz,2015,A,B,Better,Worse,Worse,382,18.23,,,
123,Apante-2015,INTA Ferroso,INTA Fuerte Sequia,BRT 103-182,2015,A,B,Worse,Better,Worse,618,16.77666667,,,
124,Apante-2015,INTA Matagalpa,INTA Rojo,ALS 0532-6,2015,A,B,Better,Worse,Better,275,18.23666667,,,
125,Apante-2015,SJC 730-79,PM2 Don Rey,INTA Precoz,2015,C,B,Better,Worse,Better,617,15.97,,,
126,Apante-2015,INTA Centro Sur,INTA Ferroso,INTA Fuerte Sequia,2015,B,A,Worse,Better,Worse,821,16.40333333,,,
127,Apante-2015,INTA Matagalpa,ALS 0532-6,BRT 103-182,2015,C,A,Worse,Worse,Better,786,16.21666667,,,
128,Apante-2015,SJC 730-79,INTA Ferroso,INTA Fuerte Sequia,2015,B,A,Worse,Worse,Better,661,16.47,,,
129,Postrera-2015,SJC 730-79,INTA Precoz,INTA Centro Sur,2015,C,A,Worse,Better,Better,432,16.47,,,
130,Apante-2015,INTA Rojo,PM2 Don Rey,ALS 0532-6,2015,A,B,Better,Worse,Worse,600,17.79,,,
131,Apante-2015,INTA Fuerte Sequia,INTA Ferroso,BRT 103-182,2015,A,C,Better,Better,Worse,619,15.97666667,,,
132,Apante-2015,INTA Rojo,SJC 730-79,PM2 Don Rey,2015,B,C,Worse,Better,Worse,394,18.39666667,,,
133,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,BRT 103-182,2015,B,A,Worse,Better,Worse,931,16.15666667,,,
134,Apante-2015,INTA Precoz,INTA Centro Sur,INTA Ferroso,2015,A,C,Worse,Better,Worse,544,17.79,,,
135,Apante-2016,INTA Fuerte Sequia,BRT 103-182,INTA Centro Sur,2016,A,B,Better,Worse,Worse,954,15.00333333,,,
136,Apante-2016,PM2 Don Rey,INTA Precoz,SJC 730-79,2016,B,C,Worse,Better,Worse,954,15.00333333,,,
137,Apante-2016,ALS 0532-6,INTA Ferroso,INTA Matagalpa,2016,A,B,Better,Worse,Worse,954,15.00333333,,,
138,Apante-2016,INTA Centro Sur,ALS 0532-6,PM2 Don Rey,2016,A,B,Better,Worse,Worse,954,15.00333333,,,
139,Apante-2016,INTA Matagalpa,INTA Precoz,BRT 103-182,2016,A,C,Better,Worse,Worse,954,15.00333333,,,
140,Apante-2015,INTA Rojo,INTA Centro Sur,INTA Matagalpa,2015,C,B,Worse,Worse,Better,660,17.62333333,,,
141,Apante-2015,INTA Centro Sur,INTA Matagalpa,INTA Precoz,2015,A,C,Worse,Worse,Worse,446,18.38333333,,,
142,Apante-2015,PM2 Don Rey,INTA Rojo,INTA Ferroso,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
143,Apante-2016,BRT 103-182,INTA Matagalpa,INTA Rojo,2016,A,C,Better,Worse,Worse,308,16.47,,,
144,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Centro Sur,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
145,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Ferroso,2015,B,A,Worse,Worse,Worse,394,18.01666667,,,
146,Apante-2015,SJC 730-79,ALS 0532-6,INTA Rojo,2015,B,C,Worse,Worse,Worse,394,18.01666667,,,
147,Apante-2015,INTA Fuerte Sequia,BRT 103-182,INTA Matagalpa,2015,B,C,Better,Better,Worse,394,18.01666667,,,
148,Apante-2015,INTA Precoz,INTA Centro Sur,PM2 Don Rey,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
149,Apante-2016,INTA Matagalpa,SJC 730-79,INTA Precoz,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
150,Apante-2016,INTA Ferroso,INTA Fuerte Sequia,INTA Precoz,2016,B,A,Worse,Better,-9999,742,15.63,,,
151,Apante-2015,INTA Matagalpa,SJC 730-79,INTA Centro Sur,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
152,Apante-2016,SJC 730-79,INTA Centro Sur,INTA Rojo,2016,C,B,Worse,Worse,Better,954,15.00333333,,,
153,Apante-2015,INTA Precoz,PM2 Don Rey,ALS 0532-6,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
154,Apante-2016,INTA Precoz,INTA Ferroso,INTA Fuerte Sequia,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
155,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Precoz,2015,B,A,Worse,Better,Worse,394,18.01666667,,,
156,Apante-2015,PM2 Don Rey,INTA Matagalpa,BRT 103-182,2015,A,C,Worse,Worse,Worse,394,18.01666667,,,
157,Apante-2015,BRT 103-182,INTA Fuerte Sequia,INTA Centro Sur,2016,A,C,Better,Worse,Worse,660,17.62333333,,,
158,Apante-2015,BRT 103-182,INTA Matagalpa,ALS 0532-6,2015,B,C,Worse,Better,Better,394,18.01666667,,,
159,Apante-2015,INTA Precoz,SJC 730-79,INTA Fuerte Sequia,2015,B,A,Worse,Better,Better,394,18.01666667,,,
160,Apante-2016,INTA Rojo,INTA Fuerte Sequia,BRT 103-182,2016,A,C,Better,Worse,Worse,692,15.06333333,,,
161,Apante-2015,ALS 0532-6,BRT 103-182,INTA Ferroso,2015,B,A,Worse,Better,Worse,394,18.01666667,,,
162,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,SJC 730-79,2015,C,A,Worse,Better,Better,394,18.01666667,,,
163,Apante-2015,PM2 Don Rey,INTA Centro Sur,INTA Matagalpa,2015,C,B,Worse,Worse,Better,739,16.52333333,,,
164,Apante-2015,INTA Fuerte Sequia,INTA Precoz,BRT 103-182,2015,C,A,Better,Better,Better,394,18.01666667,,,
165,Apante-2015,ALS 0532-6,SJC 730-79,INTA Matagalpa,2015,A,B,Better,Worse,Better,394,18.01666667,,,
166,Apante-2015,INTA Precoz,INTA Rojo,INTA Fuerte Sequia,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
167,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Matagalpa,2015,C,B,Better,Worse,Better,394,18.01666667,,,
168,Apante-2015,INTA Rojo,SJC 730-79,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,382,18.23,,,
169,Apante-2015,SJC 730-79,INTA Rojo,INTA Ferroso,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
170,Apante-2015,ALS 0532-6,BRT 103-182,INTA Centro Sur,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
171,Apante-2015,INTA Precoz,INTA Centro Sur,INTA Matagalpa,2015,C,A,Worse,Worse,Worse,394,18.01666667,,,
172,Apante-2015,ALS 0532-6,INTA Centro Sur,INTA Rojo,2015,A,C,Worse,Better,Worse,394,18.01666667,,,
173,Apante-2015,INTA Fuerte Sequia,BRT 103-182,INTA Rojo,2015,B,C,Worse,Worse,Worse,394,18.01666667,,,
174,Apante-2015,ALS 0532-6,INTA Matagalpa,INTA Rojo,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
175,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,INTA Precoz,2015,A,B,Better,Worse,Worse,711,15.78333333,,,
176,Apante-2015,INTA Centro Sur,INTA Precoz,BRT 103-182,2015,A,C,Better,Better,Worse,394,18.01666667,,,
177,Apante-2015,SJC 730-79,ALS 0532-6,INTA Rojo,2015,C,B,Better,Better,Better,394,18.01666667,,,
178,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Fuerte Sequia,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
