F1,season,variety_a,variety_b,variety_c,year,best,worst,var_a,var_b,var_c,elevation,Tnmax,best1,worst1,middle1
179,Apante-2015,INTA Matagalpa,INTA Precoz,PM2 Don Rey,2015,A,C,Better,Better,Worse,382,18.23,,,
180,Apante-2015,BRT 103-182,SJC 730-79,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
181,Apante-2016,INTA Matagalpa,INTA Precoz,INTA Rojo,2016,A,C,Better,Worse,Worse,742,15.63,,,
182,Apante-2015,INTA Ferroso,INTA Matagalpa,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,711,15.78333333,,,
183,Apante-2015,INTA Rojo,INTA Matagalpa,INTA Ferroso,2015,C,A,Worse,Worse,Better,320,18.33666667,,,
184,Apante-2015,ALS 0532-6,SJC 730-79,INTA Fuerte Sequia,2015,B,C,Worse,Better,Worse,206,18.29,,,
185,Apante-2015,SJC 730-79,ALS 0532-6,BRT 103-182,2015,B,A,Worse,Better,Worse,203,18.78333333,,,
186,Apante-2015,INTA Rojo,INTA Fuerte Sequia,INTA Centro Sur,2015,C,A,Worse,Worse,Better,711,15.78333333,,,
187,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Matagalpa,2015,C,B,Worse,-9999,Better,785,15.40333333,,,
188,Apante-2015,INTA Precoz,PM2 Don Rey,SJC 730-79,2015,B,C,Worse,Better,Worse,366,18.84333333,,,
189,Apante-2015,INTA Rojo,INTA Ferroso,SJC 730-79,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
190,Apante-2015,SJC 730-79,INTA Ferroso,INTA Matagalpa,2015,B,A,Worse,Better,Worse,680,16.01666667,,,
191,Apante-2015,BRT 103-182,INTA Precoz,PM2 Don Rey,2015,A,B,Better,Worse,Worse,206,18.29,,,
192,Apante-2015,BRT 103-182,PM2 Don Rey,INTA Fuerte Sequia,2015,B,A,Worse,Better,Worse,394,18.01666667,,,
193,Apante-2015,INTA Precoz,INTA Centro Sur,SJC 730-79,2015,A,C,Better,Better,Worse,394,18.01666667,,,
194,Apante-2016,BRT 103-182,INTA Precoz,PM2 Don Rey,2016,A,C,Better,Better,Worse,742,15.63,,,
195,Apante-2015,ALS 0532-6,INTA Rojo,INTA Ferroso,2015,B,A,Worse,Better,Worse,382,18.23,,,
196,Apante-2015,INTA Matagalpa,INTA Precoz,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,1273,14.99,,,
197,Apante-2015,ALS 0532-6,BRT 103-182,INTA Precoz,2015,C,A,Worse,Worse,Better,237,19.17,,,
198,Apante-2015,PM2 Don Rey,INTA Ferroso,SJC 730-79,2015,B,C,Worse,Better,Worse,228,18.75666667,,,
199,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,SJC 730-79,2015,A,C,Better,Worse,Worse,382,18.23,,,
200,Apante-2015,INTA Precoz,INTA Ferroso,ALS 0532-6,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
201,Apante-2015,INTA Rojo,INTA Centro Sur,SJC 730-79,2015,A,C,Better,Worse,Worse,394,18.01666667,,,
202,Apante-2015,INTA Precoz,PM2 Don Rey,ALS 0532-6,2015,B,C,Worse,Better,Better,394,18.01666667,,,
203,Apante-2015,INTA Centro Sur,INTA Rojo,BRT 103-182,2015,A,C,Worse,Worse,Worse,382,18.23,,,
204,Apante-2015,SJC 730-79,PM2 Don Rey,INTA Precoz,2015,A,C,Better,Worse,Worse,533,17.23,,,
205,Apante-2015,INTA Matagalpa,INTA Centro Sur,INTA Rojo,2015,B,C,Worse,Worse,Worse,394,18.01666667,,,
206,Apante-2015,BRT 103-182,INTA Precoz,SJC 730-79,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
207,Apante-2015,INTA Ferroso,ALS 0532-6,PM2 Don Rey,2015,B,A,Worse,Better,Worse,394,18.01666667,,,
208,Apante-2016,PM2 Don Rey,INTA Matagalpa,BRT 103-182,2016,A,B,Better,Worse,Worse,954,15.00333333,,,
209,Apante-2015,INTA Ferroso,SJC 730-79,PM2 Don Rey,2015,C,A,Worse,Worse,Better,446,18.38333333,,,
210,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Centro Sur,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
211,Apante-2016,INTA Rojo,PM2 Don Rey,INTA Ferroso,2016,A,C,Better,-9999,-9999,308,16.47,,,
212,Apante-2015,BRT 103-182,PM2 Don Rey,INTA Precoz,2015,B,A,Worse,Better,Better,394,18.01666667,,,
213,Apante-2016,INTA Ferroso,BRT 103-182,INTA Rojo,2016,B,A,Better,Worse,Worse,954,15.00333333,,,
214,Apante-2015,INTA Ferroso,SJC 730-79,PM2 Don Rey,2015,B,C,Worse,Better,Worse,394,18.01666667,,,
215,Apante-2015,BRT 103-182,INTA Matagalpa,PM2 Don Rey,2015,C,B,Worse,Worse,Better,490,16.17,,,
216,Apante-2015,INTA Centro Sur,INTA Rojo,INTA Matagalpa,2015,B,C,Worse,Better,Worse,326,17.91666667,,,
217,Apante-2015,PM2 Don Rey,INTA Ferroso,INTA Centro Sur,2015,B,A,Better,Better,Worse,662,15.85,,,
218,Apante-2015,ALS 0532-6,SJC 730-79,INTA Precoz,2015,B,A,Worse,Better,Worse,389,18.09666667,,,
219,Apante-2015,ALS 0532-6,INTA Centro Sur,PM2 Don Rey,2016,C,A,Better,Worse,Better,624,17.66333333,,,
220,Apante-2015,SJC 730-79,INTA Ferroso,BRT 103-182,2015,B,C,Worse,Better,Worse,662,15.85,,,
221,Apante-2016,SJC 730-79,INTA Rojo,INTA Fuerte Sequia,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
222,Apante-2015,INTA Rojo,INTA Matagalpa,INTA Centro Sur,2015,C,A,Worse,Worse,Better,417,18.27,,,
223,Apante-2015,PM2 Don Rey,INTA Precoz,ALS 0532-6,2015,B,C,Worse,Better,Worse,785,15.40333333,,,
224,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,BRT 103-182,2015,B,C,Worse,Better,Worse,394,18.53666667,,,
225,Apante-2015,BRT 103-182,INTA Precoz,SJC 730-79,2016,A,C,Worse,Worse,Better,259,18.43,,,
226,Apante-2015,INTA Matagalpa,PM2 Don Rey,INTA Ferroso,2015,A,C,Better,Worse,Worse,410,18.17,,,
227,Apante-2015,INTA Matagalpa,INTA Precoz,SJC 730-79,2015,B,C,Worse,Better,Worse,696,15.42333333,,,
228,Apante-2015,BRT 103-182,INTA Centro Sur,SJC 730-79,2016,C,A,Worse,Worse,Better,544,17.79,,,
229,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Fuerte Sequia,2015,C,B,Better,Worse,Better,490,17.66333333,,,
230,Apante-2016,SJC 730-79,ALS 0532-6,INTA Fuerte Sequia,2016,C,B,Worse,Worse,Better,742,15.63,,,
231,Apante-2015,INTA Centro Sur,INTA Rojo,ALS 0532-6,2015,A,C,Worse,Worse,Better,609,15.78333333,,,
232,Apante-2015,PM2 Don Rey,INTA Matagalpa,INTA Rojo,2015,C,B,Worse,Worse,Better,226,19.06333333,,,
233,Apante-2015,ALS 0532-6,INTA Precoz,SJC 730-79,2015,B,A,Worse,Better,Worse,297,18.54333333,,,
234,Apante-2015,ALS 0532-6,INTA Ferroso,SJC 730-79,2015,A,B,Better,Worse,Worse,591,15.85666667,,,
235,Apante-2015,INTA Rojo,BRT 103-182,INTA Centro Sur,2015,B,A,Worse,Better,Worse,711,15.78333333,,,
236,Apante-2015,ALS 0532-6,INTA Ferroso,INTA Centro Sur,2016,C,B,Worse,Worse,Better,864,16.92333333,,,
237,Apante-2015,INTA Rojo,PM2 Don Rey,INTA Centro Sur,2015,A,C,Better,Worse,Worse,591,15.85666667,,,
238,Apante-2015,INTA Fuerte Sequia,INTA Precoz,INTA Centro Sur,2015,C,A,Worse,Worse,Better,786,16.21666667,,,
239,Apante-2015,INTA Centro Sur,INTA Matagalpa,SJC 730-79,2015,A,C,Better,Worse,Worse,490,17.66333333,,,
240,Apante-2015,SJC 730-79,INTA Fuerte Sequia,INTA Matagalpa,2015,B,A,Worse,Better,Worse,1273,14.99,,,
241,Apante-2015,PM2 Don Rey,BRT 103-182,INTA Ferroso,2015,A,B,Worse,Better,Worse,533,17.23,,,
242,Apante-2015,INTA Precoz,SJC 730-79,INTA Fuerte Sequia,2015,C,B,Worse,Worse,Better,790,16.53666667,,,
243,Apante-2015,PM2 Don Rey,INTA Rojo,ALS 0532-6,2015,B,C,Worse,Better,Worse,647,15.71,,,
244,Apante-2016,INTA Rojo,INTA Centro Sur,ALS 0532-6,2016,C,A,-9999,-9999,Better,308,16.47,,,
245,Apante-2016,SJC 730-79,BRT 103-182,INTA Matagalpa,2016,A,C,Better,-9999,-9999,308,16.47,,,
246,Apante-2016,SJC 730-79,INTA Rojo,INTA Precoz,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
247,Apante-2016,PM2 Don Rey,INTA Matagalpa,BRT 103-182,2016,A,C,Better,Worse,Worse,308,16.47,,,
248,Apante-2015,INTA Centro Sur,BRT 103-182,PM2 Don Rey,2015,C,B,Worse,Better,Worse,490,17.66333333,,,
249,Apante-2016,INTA Centro Sur,INTA Matagalpa,INTA Precoz,2016,B,C,Worse,Better,Worse,954,15.00333333,,,
250,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Precoz,2015,A,C,Worse,Worse,Worse,394,18.01666667,,,
251,Apante-2015,INTA Centro Sur,INTA Ferroso,PM2 Don Rey,2015,B,A,Worse,Better,Worse,662,15.85,,,
252,Apante-2016,INTA Ferroso,PM2 Don Rey,SJC 730-79,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
253,Apante-2016,INTA Matagalpa,ALS 0532-6,INTA Fuerte Sequia,2016,A,B,Better,Better,Better,696,15.53,,,
254,Apante-2016,INTA Precoz,INTA Centro Sur,INTA Fuerte Sequia,2016,C,A,Worse,Worse,Better,308,16.47,,,
255,Apante-2016,INTA Matagalpa,INTA Rojo,ALS 0532-6,2016,C,A,Worse,Worse,Better,954,15.00333333,,,
256,Apante-2015,BRT 103-182,INTA Centro Sur,PM2 Don Rey,2016,C,A,Worse,Worse,Better,418,17.56333333,,,
257,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,INTA Matagalpa,2015,B,C,Worse,Better,Worse,304,18.47666667,,,
258,Apante-2015,BRT 103-182,SJC 730-79,ALS 0532-6,2015,B,A,Worse,Better,Worse,662,15.85,,,
259,Apante-2015,INTA Rojo,INTA Matagalpa,INTA Precoz,2015,A,C,Worse,Better,Worse,275,18.23666667,,,
260,Apante-2016,SJC 730-79,INTA Centro Sur,INTA Ferroso,2017,A,C,Better,Better,Worse,803,15.66333333,,,
261,Apante-2015,INTA Fuerte Sequia,INTA Rojo,ALS 0532-6,2015,C,A,Worse,Worse,Better,609,15.78333333,,,
262,Apante-2015,BRT 103-182,INTA Precoz,INTA Ferroso,2015,B,C,Worse,Better,Worse,339,18.57666667,,,
263,Apante-2016,INTA Matagalpa,PM2 Don Rey,BRT 103-182,2016,C,A,Worse,Better,Better,803,15.66333333,,,
264,Apante-2015,BRT 103-182,SJC 730-79,INTA Matagalpa,2015,C,A,Worse,Worse,Better,482,17.77,,,
265,Apante-2015,BRT 103-182,INTA Centro Sur,SJC 730-79,2016,C,B,Worse,Worse,Worse,591,15.85666667,,,
266,Apante-2016,SJC 730-79,INTA Matagalpa,INTA Ferroso,2016,A,C,Better,-9999,-9999,308,16.47,,,
267,Apante-2016,BRT 103-182,INTA Precoz,PM2 Don Rey,2016,A,C,Better,Worse,Worse,954,15.00333333,,,
268,Apante-2015,INTA Rojo,INTA Fuerte Sequia,ALS 0532-6,2016,B,C,Worse,Better,Worse,250,18.36333333,,,
269,Apante-2015,INTA Rojo,ALS 0532-6,PM2 Don Rey,2015,A,C,Better,Worse,Worse,518,16.01666667,,,
270,Apante-2016,INTA Fuerte Sequia,INTA Rojo,INTA Matagalpa,2016,B,A,Better,Better,Better,742,15.63,,,
271,Apante-2016,INTA Centro Sur,INTA Ferroso,ALS 0532-6,2016,A,C,Better,Better,Worse,742,15.63,,,
272,Apante-2016,PM2 Don Rey,BRT 103-182,INTA Rojo,2016,A,B,Better,Worse,Worse,742,15.63,,,
273,Apante-2015,INTA Fuerte Sequia,INTA Precoz,BRT 103-182,2015,A,C,Better,Worse,Worse,591,15.85666667,,,
274,Apante-2016,ALS 0532-6,BRT 103-182,INTA Matagalpa,2016,A,C,Better,Worse,Worse,954,15.00333333,,,
275,Postrera-2015,BRT 103-182,INTA Centro Sur,INTA Fuerte Sequia,2015,C,A,Worse,Better,Better,620,16.18333333,,,
276,Apante-2016,BRT 103-182,INTA Matagalpa,INTA Rojo,2016,A,B,Better,Worse,Worse,742,15.63,,,
277,Apante-2016,INTA Matagalpa,INTA Precoz,ALS 0532-6,2016,A,C,Better,-9999,-9999,308,16.47,,,
278,Apante-2015,INTA Centro Sur,INTA Ferroso,PM2 Don Rey,2015,B,C,Better,Better,Worse,382,18.23,,,
279,Apante-2016,INTA Matagalpa,INTA Centro Sur,INTA Precoz,2016,A,C,Better,Worse,Worse,954,15.00333333,,,
280,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Fuerte Sequia,2016,B,A,Worse,Better,Worse,431,17.81666667,,,
281,Apante-2015,PM2 Don Rey,INTA Centro Sur,ALS 0532-6,2015,C,A,Worse,Worse,Better,662,15.85,,,
282,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Centro Sur,2015,A,C,Better,Worse,Worse,533,17.23,,,
283,Apante-2015,INTA Ferroso,ALS 0532-6,SJC 730-79,2015,B,C,Worse,Worse,Worse,647,15.74333333,,,
284,Apante-2015,INTA Rojo,INTA Centro Sur,ALS 0532-6,2015,B,C,Worse,Better,Worse,627,16.88333333,,,
285,Apante-2015,INTA Precoz,INTA Rojo,INTA Fuerte Sequia,2015,B,A,Worse,Better,Worse,771,14.35666667,,,
286,Apante-2015,INTA Fuerte Sequia,INTA Centro Sur,PM2 Don Rey,2015,C,B,Better,Worse,Better,394,18.01666667,,,
287,Apante-2015,SJC 730-79,INTA Matagalpa,INTA Precoz,2015,B,C,Better,Better,Worse,394,18.01666667,,,
288,Apante-2015,INTA Precoz,INTA Rojo,INTA Ferroso,2016,A,C,Worse,Better,Worse,423,18.64333333,,,
289,Apante-2015,ALS 0532-6,SJC 730-79,INTA Centro Sur,2015,C,B,Worse,Worse,Better,617,15.97,,,
290,Postrera-2015,INTA Matagalpa,INTA Rojo,ALS 0532-6,2015,A,B,Better,Better,Better,745,15.82333333,,,
291,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,SJC 730-79,2016,C,A,Worse,Worse,Better,600,17.79,,,
292,Apante-2015,ALS 0532-6,INTA Centro Sur,BRT 103-182,2015,A,C,Better,Worse,Worse,642,15.85,,,
293,Apante-2015,INTA Precoz,INTA Rojo,INTA Matagalpa,2015,C,A,Worse,Worse,Better,609,15.78333333,,,
294,Apante-2015,INTA Precoz,INTA Ferroso,SJC 730-79,2015,C,B,Worse,Worse,Better,394,18.01666667,,,
295,Apante-2016,INTA Precoz,INTA Fuerte Sequia,INTA Rojo,2017,B,C,Better,Better,Better,696,15.53,,,
296,Postrera-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Centro Sur,2015,C,B,Better,Worse,Better,769,15.99,,,
297,Apante-2015,INTA Matagalpa,SJC 730-79,INTA Ferroso,2015,B,C,Worse,Better,Worse,444,16.84333333,,,
298,Apante-2015,INTA Ferroso,INTA Fuerte Sequia,SJC 730-79,2015,B,C,Worse,Better,Worse,402,17.97666667,,,
299,Apante-2016,INTA Fuerte Sequia,SJC 730-79,INTA Matagalpa,2016,A,B,Better,Better,Better,803,15.66333333,,,
300,Postrera-2015,INTA Precoz,SJC 730-79,PM2 Don Rey,2015,C,B,Worse,Worse,Better,628,16.14333333,,,
301,Apante-2015,INTA Fuerte Sequia,INTA Rojo,INTA Ferroso,2015,C,A,Worse,Worse,Better,226,19.06333333,,,
302,Postrera-2015,BRT 103-182,INTA Centro Sur,ALS 0532-6,2015,A,C,Better,Worse,Worse,802,15.96333333,,,
303,Apante-2015,INTA Rojo,INTA Fuerte Sequia,INTA Matagalpa,2015,B,A,Worse,Better,Worse,642,15.85,,,
304,Apante-2015,INTA Precoz,SJC 730-79,ALS 0532-6,2015,B,A,Worse,Better,Worse,642,15.85,,,
305,Apante-2016,PM2 Don Rey,INTA Fuerte Sequia,BRT 103-182,2016,C,A,-9999,-9999,Better,308,16.47,,,
306,Apante-2016,INTA Matagalpa,INTA Centro Sur,INTA Rojo,2017,A,B,Better,Worse,Better,742,15.63,,,
307,Apante-2015,PM2 Don Rey,INTA Centro Sur,INTA Ferroso,2016,B,C,Worse,Better,Worse,297,18.54333333,,,
308,Postrera-2015,INTA Fuerte Sequia,PM2 Don Rey,INTA Matagalpa,2015,C,A,Better,Worse,Worse,290,17.32333333,,,
309,Apante-2015,INTA Rojo,BRT 103-182,INTA Fuerte Sequia,2016,A,C,Better,Worse,Worse,339,18.57666667,,,
310,Apante-2016,SJC 730-79,ALS 0532-6,INTA Centro Sur,2016,A,B,Better,Worse,Worse,742,15.63,,,
311,Postrera-2015,INTA Centro Sur,INTA Ferroso,INTA Rojo,2015,C,B,Better,Worse,Better,450,16.91666667,,,
312,Apante-2016,SJC 730-79,INTA Matagalpa,INTA Fuerte Sequia,2016,A,C,-9999,Better,-9999,308,16.47,,,
313,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Ferroso,2015,C,A,Worse,Better,Worse,418,17.56333333,,,
314,Apante-2015,BRT 103-182,INTA Ferroso,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,251,18.67666667,,,
315,Apante-2016,SJC 730-79,INTA Fuerte Sequia,INTA Precoz,2016,A,C,Better,-9999,-9999,753,17.31666667,,,
316,Primeira-2015,INTA Centro Sur,INTA Precoz,INTA Rojo,2016,A,B,Better,Better,Better,890,18.35666667,,,
317,Primeira-2015,INTA Rojo,INTA Ferroso,INTA Matagalpa,2016,C,B,Better,Better,Better,890,18.35666667,,,
318,Apante-2016,INTA Matagalpa,PM2 Don Rey,ALS 0532-6,2016,B,A,-9999,Better,-9999,1160,16.97666667,,,
319,Primeira-2015,ALS 0532-6,INTA Fuerte Sequia,BRT 103-182,2016,C,A,Better,Better,Better,890,18.35666667,,,
320,Primeira-2015,ALS 0532-6,INTA Fuerte Sequia,BRT 103-182,2016,C,B,Better,Better,Better,890,18.35666667,,,
321,Primeira-2015,INTA Ferroso,ALS 0532-6,INTA Fuerte Sequia,2016,C,B,Better,Better,Better,890,18.35666667,,,
322,Apante-2016,INTA Precoz,INTA Fuerte Sequia,ALS 0532-6,2016,B,A,Worse,Worse,Worse,596,17.61666667,,,
323,Apante-2016,INTA Precoz,INTA Fuerte Sequia,INTA Centro Sur,2016,A,C,Better,-9999,-9999,847,18.67,,,
324,Apante-2016,INTA Centro Sur,PM2 Don Rey,SJC 730-79,2016,A,B,Better,-9999,-9999,847,18.67,,,
325,Primeira-2015,SJC 730-79,INTA Rojo,BRT 103-182,2016,C,A,Better,Better,Better,890,18.35666667,,,
326,Primeira-2015,PM2 Don Rey,INTA Rojo,ALS 0532-6,2016,B,C,Worse,Worse,Worse,890,18.35666667,,,
327,Primeira-2015,INTA Centro Sur,PM2 Don Rey,ALS 0532-6,2016,A,C,Better,Better,Better,890,18.35666667,,,
328,Apante-2015,BRT 103-182,INTA Ferroso,PM2 Don Rey,2015,B,C,Worse,Better,Worse,271,18.42333333,,,
329,Apante-2015,INTA Matagalpa,PM2 Don Rey,INTA Fuerte Sequia,2016,C,A,Worse,Better,Better,278,18.55666667,,,
330,Apante-2015,INTA Rojo,PM2 Don Rey,ALS 0532-6,2015,A,C,Worse,Worse,Worse,1034,15.40333333,,,
331,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Ferroso,2015,A,C,Better,Better,Worse,267,18.55,,,
332,Apante-2015,INTA Ferroso,INTA Fuerte Sequia,INTA Precoz,2015,B,A,Worse,Worse,Worse,1034,15.40333333,,,
333,Apante-2015,INTA Ferroso,INTA Centro Sur,SJC 730-79,2015,B,C,Better,Better,Worse,290,18.61,,,
334,Apante-2015,INTA Precoz,PM2 Don Rey,INTA Matagalpa,2015,B,C,Worse,Worse,Worse,1034,15.40333333,,,
335,Postrera-2015,INTA Centro Sur,PM2 Don Rey,BRT 103-182,2015,C,B,Worse,Worse,Worse,466,17.10333333,,,
336,Apante-2015,INTA Rojo,INTA Matagalpa,SJC 730-79,2015,B,C,Worse,Better,Worse,1013,15.40333333,,,
337,Apante-2015,INTA Matagalpa,INTA Precoz,ALS 0532-6,2015,C,A,Better,Worse,Better,321,17.31,,,
338,Postrera-2015,SJC 730-79,INTA Rojo,INTA Precoz,2015,B,A,Worse,Better,Worse,308,17.63,,,
339,Apante-2015,INTA Ferroso,BRT 103-182,INTA Rojo,2015,B,C,Worse,Better,Worse,257,18.61,,,
340,Apante-2015,BRT 103-182,INTA Ferroso,SJC 730-79,2015,A,B,Better,Worse,Worse,288,18.61,,,
341,Postrera-2015,INTA Ferroso,SJC 730-79,INTA Matagalpa,2015,B,C,Better,Worse,Worse,321,17.31,,,
342,Postrera-2015,INTA Centro Sur,INTA Matagalpa,INTA Precoz,2015,B,A,Worse,Better,Worse,317,17.49666667,,,
343,Postrera-2015,INTA Ferroso,PM2 Don Rey,BRT 103-182,2015,C,B,Worse,Better,Better,309,17.55,,,
344,Apante-2015,INTA Matagalpa,PM2 Don Rey,BRT 103-182,2015,C,B,Better,Worse,Better,288,18.61,,,
345,Apante-2015,SJC 730-79,ALS 0532-6,INTA Fuerte Sequia,2015,C,B,Better,Worse,Better,271,18.42333333,,,
346,Apante-2015,INTA Rojo,INTA Matagalpa,BRT 103-182,2015,C,B,Better,Worse,Better,291,18.55666667,,,
347,Apante-2016,INTA Fuerte Sequia,INTA Centro Sur,PM2 Don Rey,2016,A,B,-9999,Better,-9999,298,19.00333333,,,
348,Postrera-2015,INTA Rojo,SJC 730-79,BRT 103-182,2015,A,B,Better,Worse,Worse,427,17.52333333,,,
349,Apante-2015,INTA Fuerte Sequia,INTA Ferroso,INTA Matagalpa,2015,A,C,Better,Worse,Worse,1034,15.40333333,,,
350,Apante-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Precoz,2015,C,A,Better,Worse,Better,288,17.56333333,,,
351,Apante-2015,PM2 Don Rey,INTA Precoz,ALS 0532-6,2015,C,A,Better,Worse,Better,1034,15.40333333,,,
352,Apante-2015,INTA Centro Sur,INTA Matagalpa,INTA Fuerte Sequia,2015,C,A,Worse,Worse,Better,288,18.61,,,
353,Apante-2015,BRT 103-182,INTA Rojo,INTA Ferroso,2015,C,A,Worse,Worse,Worse,1013,15.40333333,,,
354,Apante-2015,INTA Fuerte Sequia,INTA Precoz,ALS 0532-6,2015,B,A,Worse,Better,Worse,482,18.11,,,
355,Postrera-2015,ALS 0532-6,INTA Fuerte Sequia,PM2 Don Rey,2015,B,C,Worse,Better,Better,317,17.49666667,,,
356,Apante-2015,ALS 0532-6,INTA Precoz,INTA Centro Sur,2015,B,A,Worse,Better,Better,291,18.55666667,,,
