F1,season,variety_a,variety_b,variety_c,year,best,worst,var_a,var_b,var_c,elevation,Tnmax,best1,worst1,middle1
357,Apante-2015,BRT 103-182,INTA Rojo,SJC 730-79,2015,C,A,Worse,Worse,Worse,1013,15.40333333,,,
358,Apante-2015,INTA Ferroso,INTA Fuerte Sequia,PM2 Don Rey,2015,C,A,-9999,-9999,Better,1123,15.72333333,,,
359,Apante-2015,INTA Rojo,SJC 730-79,ALS 0532-6,2015,C,B,Worse,Worse,Better,1013,15.40333333,,,
360,Apante-2015,INTA Matagalpa,INTA Precoz,PM2 Don Rey,2015,A,C,Better,Worse,Worse,298,17.01,,,
361,Apante-2015,INTA Fuerte Sequia,PM2 Don Rey,SJC 730-79,2015,A,C,Worse,Worse,Worse,313,17.39666667,,,
362,Apante-2015,SJC 730-79,INTA Fuerte Sequia,ALS 0532-6,2015,A,C,Better,Worse,Worse,288,18.61,,,
363,Apante-2015,ALS 0532-6,INTA Centro Sur,INTA Precoz,2015,B,A,Better,Better,Worse,291,18.55666667,,,
364,Postrera-2015,BRT 103-182,INTA Ferroso,ALS 0532-6,2015,A,C,Worse,Better,Worse,500,17.35,,,
365,Apante-2015,INTA Rojo,SJC 730-79,PM2 Don Rey,2015,C,A,Better,Worse,Better,317,17.12333333,,,
366,Postrera-2015,SJC 730-79,INTA Fuerte Sequia,INTA Centro Sur,2015,A,C,Better,Better,Worse,528,17.29,,,
367,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Ferroso,2015,B,A,Better,Better,Worse,1013,15.40333333,,,
368,Apante-2016,INTA Matagalpa,PM2 Don Rey,ALS 0532-6,2016,A,B,Better,Worse,Worse,302,18.41,,,
369,Apante-2015,SJC 730-79,INTA Ferroso,ALS 0532-6,2016,B,C,Worse,Better,Worse,435,17.47,,,
370,Postrera-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Ferroso,2015,B,A,Worse,Better,Worse,427,17.52333333,,,
371,Postrera-2016,PM2 Don Rey,ALS 0532-6,INTA Precoz,2016,A,C,Better,Worse,Worse,313,17.39666667,,,
372,Apante-2015,INTA Centro Sur,INTA Matagalpa,INTA Ferroso,2015,A,C,Better,Worse,Worse,271,18.42333333,,,
373,Apante-2016,SJC 730-79,BRT 103-182,INTA Rojo,2017,B,A,Better,Better,Worse,302,18.41,,,
374,Apante-2016,SJC 730-79,INTA Ferroso,BRT 103-182,2017,B,C,-9999,Better,-9999,298,19.00333333,,,
375,Apante-2015,ALS 0532-6,INTA Fuerte Sequia,INTA Precoz,2015,C,B,Worse,Worse,Better,278,18.55666667,,,
376,Apante-2015,SJC 730-79,BRT 103-182,INTA Centro Sur,2015,C,A,Worse,Worse,Worse,1013,15.40333333,,,
377,Postrera-2015,INTA Precoz,INTA Ferroso,INTA Rojo,2015,B,A,Worse,Better,Worse,293,17.26333333,,,
378,Apante-2015,BRT 103-182,SJC 730-79,PM2 Don Rey,2015,C,A,Worse,Worse,Better,290,18.76333333,,,
379,Apante-2016,INTA Precoz,INTA Matagalpa,INTA Rojo,2017,B,A,-9999,Better,-9999,298,19.00333333,,,
380,Apante-2015,SJC 730-79,INTA Rojo,INTA Centro Sur,2015,A,C,Worse,Worse,Worse,291,18.55666667,,,
381,Apante-2015,INTA Ferroso,INTA Matagalpa,INTA Rojo,2016,C,A,Worse,Worse,Better,286,18.55666667,,,
382,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Ferroso,2015,A,C,Better,Worse,Worse,291,18.55666667,,,
383,Apante-2015,INTA Rojo,ALS 0532-6,INTA Precoz,2015,A,B,Worse,Worse,Better,288,18.61,,,
384,Apante-2016,PM2 Don Rey,INTA Precoz,INTA Centro Sur,2016,C,B,Better,Worse,Better,302,18.41,,,
385,Postrera-2015,INTA Fuerte Sequia,SJC 730-79,INTA Centro Sur,2015,A,C,Better,Worse,Worse,730,17.22333333,,,
386,Apante-2015,INTA Ferroso,INTA Centro Sur,INTA Precoz,2015,A,B,Better,Worse,Worse,288,18.61,,,
387,Apante-2015,INTA Centro Sur,SJC 730-79,INTA Ferroso,2015,C,B,Better,Worse,Worse,1013,15.40333333,,,
388,Apante-2015,INTA Matagalpa,SJC 730-79,BRT 103-182,2015,C,A,Worse,Worse,Better,271,18.42333333,,,
389,Apante-2015,SJC 730-79,INTA Rojo,BRT 103-182,2015,A,B,Better,-9999,-9999,1013,15.40333333,,,
390,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Rojo,2015,A,C,Better,Better,Worse,271,18.42333333,,,
391,Apante-2015,SJC 730-79,BRT 103-182,INTA Ferroso,2015,B,A,Worse,Better,Worse,279,18.55666667,,,
392,Apante-2015,PM2 Don Rey,INTA Fuerte Sequia,SJC 730-79,2015,B,A,Worse,Better,Worse,257,18.61,,,
393,Apante-2015,ALS 0532-6,INTA Centro Sur,PM2 Don Rey,2015,C,A,Worse,Worse,Better,286,18.55666667,,,
394,Apante-2015,INTA Matagalpa,INTA Precoz,ALS 0532-6,2015,A,C,Better,Better,Worse,288,18.61,,,
395,Apante-2015,INTA Fuerte Sequia,INTA Centro Sur,INTA Matagalpa,2015,B,C,Worse,Worse,Worse,1013,15.40333333,,,
396,Postrera-2015,INTA Ferroso,INTA Centro Sur,INTA Rojo,2015,B,A,Worse,Better,Worse,317,17.49666667,,,
397,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Precoz,2015,A,C,Better,Better,Better,267,18.55,,,
398,Apante-2015,PM2 Don Rey,SJC 730-79,BRT 103-182,2015,A,B,Better,Worse,Better,288,18.61,,,
399,Apante-2015,INTA Rojo,INTA Ferroso,INTA Centro Sur,2015,B,C,Worse,Worse,Worse,271,18.42333333,,,
400,Postrera-2015,INTA Fuerte Sequia,BRT 103-182,SJC 730-79,2015,C,B,Worse,Worse,Better,302,17.13,,,
401,Apante-2015,INTA Fuerte Sequia,ALS 0532-6,INTA Rojo,2015,A,C,Better,Worse,Worse,309,17.55,,,
402,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Rojo,2015,C,B,Worse,Worse,Worse,397,17.39,,,
403,Apante-2015,INTA Precoz,INTA Centro Sur,ALS 0532-6,2015,B,C,Worse,Better,Worse,293,17.26333333,,,
404,Apante-2016,PM2 Don Rey,INTA Centro Sur,BRT 103-182,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
405,Postrera-2015,SJC 730-79,INTA Fuerte Sequia,BRT 103-182,2015,C,A,Worse,Worse,Better,652,17.40333333,,,
406,Apante-2015,INTA Matagalpa,ALS 0532-6,SJC 730-79,2015,A,C,Better,Worse,Worse,290,18.76333333,,,
407,Apante-2015,SJC 730-79,INTA Ferroso,INTA Fuerte Sequia,2015,A,C,Better,Better,Worse,288,18.61,,,
408,Postrera-2015,BRT 103-182,INTA Rojo,INTA Centro Sur,2015,A,B,Better,Worse,Better,323,17.36333333,,,
409,Postrera-2015,ALS 0532-6,BRT 103-182,SJC 730-79,2015,B,C,Worse,Worse,Better,502,17.59666667,,,
410,Postrera-2015,INTA Rojo,INTA Precoz,INTA Matagalpa,2015,B,C,Worse,Better,Worse,426,17.20333333,,,
411,Apante-2016,INTA Centro Sur,ALS 0532-6,INTA Fuerte Sequia,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
412,Apante-2016,INTA Fuerte Sequia,SJC 730-79,ALS 0532-6,2016,B,C,Worse,Better,Worse,1133,13.89,,,
413,Postrera-2015,INTA Fuerte Sequia,INTA Centro Sur,PM2 Don Rey,2015,C,B,Better,Better,Worse,466,17.10333333,,,
414,Postrera-2015,INTA Ferroso,ALS 0532-6,INTA Matagalpa,2015,B,A,Worse,Better,Worse,308,17.63,,,
415,Postrera-2015,BRT 103-182,SJC 730-79,PM2 Don Rey,2015,A,C,Better,Worse,Worse,781,16.11666667,,,
416,Postrera-2015,SJC 730-79,INTA Centro Sur,PM2 Don Rey,2015,B,C,Worse,Better,Worse,317,17.49666667,,,
417,Apante-2016,INTA Centro Sur,INTA Precoz,SJC 730-79,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
418,Postrera-2015,INTA Matagalpa,SJC 730-79,ALS 0532-6,2015,B,A,Worse,Better,Worse,504,17.85,,,
419,Apante-2015,INTA Ferroso,BRT 103-182,PM2 Don Rey,2015,C,A,Worse,Worse,Better,579,18.17666667,,,
420,Postrera-2015,INTA Fuerte Sequia,SJC 730-79,BRT 103-182,2015,A,C,Better,Worse,Worse,317,17.12333333,,,
421,Postrera-2015,INTA Precoz,INTA Rojo,ALS 0532-6,2015,A,B,Better,Worse,Worse,308,17.63,,,
422,Postrera-2015,PM2 Don Rey,BRT 103-182,SJC 730-79,2015,A,B,Better,Worse,Worse,302,17.13,,,
423,Postrera-2015,INTA Centro Sur,SJC 730-79,INTA Fuerte Sequia,2015,B,A,Worse,Better,Better,652,17.40333333,,,
424,Postrera-2015,INTA Fuerte Sequia,BRT 103-182,INTA Ferroso,2015,B,A,Worse,Better,Worse,726,17.19,,,
425,Postrera-2015,ALS 0532-6,PM2 Don Rey,INTA Centro Sur,2015,A,C,Better,Worse,Worse,861,15.25666667,,,
426,Apante-2015,INTA Rojo,BRT 103-182,INTA Precoz,2015,B,C,Worse,Worse,Worse,291,18.55666667,,,
427,Postrera-2015,INTA Matagalpa,INTA Centro Sur,ALS 0532-6,2015,C,A,Worse,Worse,Better,320,17.59666667,,,
428,Apante-2015,INTA Centro Sur,SJC 730-79,INTA Matagalpa,2015,B,C,Better,Better,Better,271,18.42333333,,,
429,Postrera-2015,INTA Centro Sur,SJC 730-79,INTA Fuerte Sequia,2015,B,A,Better,Better,Worse,781,17.38333333,,,
430,Postrera-2015,INTA Matagalpa,INTA Fuerte Sequia,INTA Centro Sur,2015,C,A,Worse,Better,Better,309,17.55,,,
431,Apante-2015,PM2 Don Rey,INTA Centro Sur,SJC 730-79,2015,A,C,Better,Worse,Worse,288,18.61,,,
432,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,INTA Rojo,2015,A,C,Better,Worse,Worse,278,18.55666667,,,
433,Postrera-2015,INTA Precoz,INTA Rojo,BRT 103-182,2015,C,A,Worse,Worse,Better,497,17.09666667,,,
434,Apante-2015,BRT 103-182,INTA Centro Sur,INTA Matagalpa,2015,C,B,Better,Better,Better,267,18.55,,,
435,Apante-2015,ALS 0532-6,PM2 Don Rey,INTA Precoz,2015,A,C,Better,-9999,-9999,288,18.61,,,
436,Apante-2015,INTA Fuerte Sequia,SJC 730-79,INTA Matagalpa,2016,B,C,Worse,Better,Worse,286,18.55666667,,,
437,Postrera-2015,SJC 730-79,BRT 103-182,INTA Rojo,2015,A,B,Better,Worse,Worse,528,17.29,,,
438,Postrera-2015,ALS 0532-6,BRT 103-182,INTA Rojo,2015,A,C,Better,Worse,Worse,813,15.38333333,,,
439,Apante-2015,BRT 103-182,SJC 730-79,INTA Centro Sur,2015,A,C,Better,Worse,Better,262,17.21,,,
440,Apante-2016,PM2 Don Rey,ALS 0532-6,INTA Centro Sur,2016,A,B,Worse,Worse,Worse,302,18.41,,,
441,Postrera-2015,INTA Centro Sur,SJC 730-79,INTA Fuerte Sequia,2015,A,B,Better,Worse,Worse,889,17.15666667,,,
442,Postrera-2015,INTA Matagalpa,INTA Precoz,INTA Rojo,2015,C,B,Better,Worse,Better,397,17.39,,,
443,Postrera-2015,INTA Matagalpa,PM2 Don Rey,INTA Precoz,2015,A,C,Better,Worse,Worse,796,17.26333333,,,
444,Apante-2015,ALS 0532-6,INTA Ferroso,INTA Precoz,2015,C,B,Worse,Worse,Better,309,17.55,,,
445,Postrera-2015,INTA Precoz,INTA Matagalpa,INTA Ferroso,2015,B,C,Worse,Better,Worse,575,17.27,,,
446,Apante-2016,INTA Rojo,BRT 103-182,INTA Fuerte Sequia,2016,A,C,Better,Worse,Worse,1133,13.89,,,
447,Apante-2016,SJC 730-79,INTA Matagalpa,INTA Centro Sur,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
448,Apante-2015,PM2 Don Rey,INTA Precoz,INTA Rojo,2015,C,B,Better,Worse,Better,267,18.55,,,
449,Postrera-2015,BRT 103-182,INTA Ferroso,INTA Matagalpa,2015,C,A,Worse,Worse,Better,595,17.11666667,,,
450,Postrera-2015,INTA Centro Sur,PM2 Don Rey,INTA Fuerte Sequia,2015,A,C,Better,Worse,Better,555,17.32333333,,,
451,Apante-2015,SJC 730-79,INTA Fuerte Sequia,INTA Ferroso,2016,B,A,Worse,Better,Worse,328,18.07,,,
452,Apante-2016,INTA Matagalpa,PM2 Don Rey,INTA Ferroso,2016,A,C,Better,-9999,-9999,298,19.00333333,,,
453,Postrera-2015,ALS 0532-6,INTA Rojo,BRT 103-182,2015,B,C,Worse,Worse,Worse,746,17.21,,,
454,Postrera-2015,PM2 Don Rey,INTA Precoz,SJC 730-79,2015,C,B,Worse,Worse,Better,500,17.35,,,
455,Postrera-2015,INTA Fuerte Sequia,INTA Matagalpa,INTA Centro Sur,2015,A,C,Worse,Worse,Worse,499,17.25666667,,,
456,Postrera-2015,INTA Precoz,INTA Ferroso,INTA Matagalpa,2015,A,B,Better,Worse,Worse,604,17.20333333,,,
457,Postrera-2015,INTA Fuerte Sequia,INTA Rojo,PM2 Don Rey,2015,A,C,Worse,Worse,Worse,828,16.72333333,,,
458,Postrera-2015,INTA Matagalpa,INTA Ferroso,INTA Precoz,2015,C,A,Worse,Worse,Better,652,17.40333333,,,
459,Apante-2016,INTA Centro Sur,INTA Precoz,SJC 730-79,2017,A,C,Better,Worse,Worse,302,18.41,,,
460,Postrera-2015,INTA Matagalpa,INTA Fuerte Sequia,PM2 Don Rey,2015,A,C,Better,Worse,Better,604,17.20333333,,,
461,Apante-2015,INTA Rojo,PM2 Don Rey,SJC 730-79,2015,B,C,Worse,Better,Worse,286,18.55666667,,,
462,Postrera-2015,SJC 730-79,INTA Ferroso,ALS 0532-6,2015,A,C,Better,Worse,Worse,604,17.20333333,,,
463,Postrera-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Precoz,2015,A,C,Worse,Worse,Worse,547,17.15,,,
464,Postrera-2015,SJC 730-79,INTA Ferroso,BRT 103-182,2015,A,C,Better,Worse,Worse,604,17.20333333,,,
465,Apante-2016,BRT 103-182,SJC 730-79,INTA Matagalpa,2017,B,C,-9999,Better,-9999,298,19.00333333,,,
466,Apante-2016,INTA Rojo,INTA Centro Sur,INTA Ferroso,2017,A,C,Better,-9999,-9999,298,19.00333333,,,
467,Apante-2016,INTA Rojo,INTA Centro Sur,INTA Ferroso,2016,B,C,Better,Worse,Worse,302,18.41,,,
468,Postrera-2015,ALS 0532-6,BRT 103-182,PM2 Don Rey,2015,B,A,Worse,Better,Worse,518,17.47,,,
469,Apante-2016,INTA Fuerte Sequia,SJC 730-79,INTA Precoz,2016,C,B,Better,Better,Worse,302,18.41,,,
470,Apante-2015,INTA Rojo,INTA Fuerte Sequia,PM2 Don Rey,2015,B,C,Worse,Worse,Better,291,18.55666667,,,
471,Apante-2016,ALS 0532-6,INTA Rojo,BRT 103-182,2016,A,B,Better,-9999,-9999,998,15.23666667,,,
472,Apante-2015,INTA Matagalpa,BRT 103-182,INTA Precoz,2015,B,A,Worse,Better,Worse,291,18.55666667,,,
473,Postrera-2015,INTA Centro Sur,INTA Matagalpa,BRT 103-182,2015,B,A,Worse,Worse,Better,397,17.39,,,
474,Apante-2016,INTA Ferroso,INTA Matagalpa,SJC 730-79,2017,A,C,Better,-9999,-9999,298,19.00333333,,,
475,Apante-2015,BRT 103-182,SJC 730-79,INTA Ferroso,2015,A,C,Better,Worse,Worse,1034,15.40333333,,,
476,Apante-2015,INTA Centro Sur,BRT 103-182,SJC 730-79,2015,B,C,Worse,Worse,Worse,288,18.61,,,
477,Apante-2015,INTA Fuerte Sequia,BRT 103-182,SJC 730-79,2015,C,A,Worse,Better,Better,288,18.61,,,
478,Postrera-2015,INTA Centro Sur,INTA Fuerte Sequia,INTA Precoz,2015,A,C,Better,Worse,Worse,330,17.84333333,,,
479,Postrera-2015,PM2 Don Rey,ALS 0532-6,INTA Ferroso,2015,B,C,Worse,Better,Better,476,17.25,,,
480,Apante-2016,SJC 730-79,BRT 103-182,INTA Ferroso,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
481,Postrera-2015,INTA Ferroso,BRT 103-182,SJC 730-79,2015,A,C,Worse,Worse,Worse,1065,14.62333333,,,
482,Postrera-2015,INTA Rojo,PM2 Don Rey,INTA Fuerte Sequia,2015,A,C,Better,Worse,Worse,1065,14.62333333,,,
483,Apante-2016,INTA Rojo,INTA Ferroso,INTA Precoz,2017,B,A,Worse,Better,Better,302,18.41,,,
484,Postrera-2015,ALS 0532-6,SJC 730-79,BRT 103-182,2015,A,B,Better,Worse,Worse,532,17.41,,,
485,Postrera-2015,ALS 0532-6,INTA Ferroso,INTA Precoz,2015,A,C,Better,Better,Worse,290,17.87666667,,,
486,Postrera-2015,SJC 730-79,INTA Fuerte Sequia,INTA Centro Sur,2015,C,B,Worse,Better,Better,652,17.40333333,,,
487,Postrera-2015,INTA Ferroso,INTA Precoz,INTA Matagalpa,2015,C,B,Worse,Worse,Better,452,17.45666667,,,
488,Postrera-2015,INTA Ferroso,INTA Rojo,INTA Matagalpa,2015,C,B,Worse,Worse,Better,527,17.44333333,,,
489,Apante-2015,BRT 103-182,INTA Rojo,INTA Matagalpa,2015,A,B,Better,Worse,Worse,277,18.42333333,,,
490,Apante-2016,BRT 103-182,INTA Precoz,PM2 Don Rey,2016,A,C,Better,-9999,-9999,298,19.00333333,,,
491,Primeira-2015,INTA Centro Sur,PM2 Don Rey,SJC 730-79,2016,A,C,Better,Worse,Worse,838,16.17,,,
492,Postrera-2015,PM2 Don Rey,INTA Centro Sur,INTA Precoz,2015,A,C,Worse,Worse,Worse,796,17.26333333,,,
493,Apante-2016,INTA Precoz,INTA Rojo,ALS 0532-6,2016,C,B,Worse,Better,Better,302,18.41,,,
494,Postrera-2015,INTA Centro Sur,ALS 0532-6,INTA Ferroso,2015,A,C,Better,Better,Worse,564,15.77666667,,,
495,Apante-2015,INTA Precoz,BRT 103-182,PM2 Don Rey,2015,A,C,Better,Worse,Better,271,18.42333333,,,
496,Apante-2016,INTA Fuerte Sequia,INTA Rojo,INTA Matagalpa,2016,B,A,-9999,Better,-9999,298,19.00333333,,,
497,Postrera-2015,INTA Matagalpa,INTA Precoz,INTA Ferroso,2015,C,B,Worse,Worse,Better,652,17.40333333,,,
498,Apante-2015,BRT 103-182,INTA Centro Sur,PM2 Don Rey,2015,B,C,Better,Better,Worse,271,18.42333333,,,
499,Apante-2015,INTA Fuerte Sequia,INTA Matagalpa,ALS 0532-6,2015,A,B,Better,Better,Better,271,18.42333333,,,
500,Apante-2016,INTA Centro Sur,PM2 Don Rey,INTA Precoz,2016,A,B,Worse,Better,Worse,302,18.41,,,
501,Apante-2016,SJC 730-79,INTA Rojo,INTA Ferroso,2016,B,A,Worse,Better,Worse,302,18.41,,,
502,Apante-2016,INTA Fuerte Sequia,INTA Centro Sur,INTA Ferroso,2016,B,A,-9999,Better,-9999,939,17.10333333,,,
503,Postrera-2015,PM2 Don Rey,ALS 0532-6,INTA Rojo,2015,A,C,Better,Worse,Worse,856,15.36333333,,,
504,Apante-2016,INTA Ferroso,INTA Centro Sur,INTA Matagalpa,2016,A,C,Better,Worse,Worse,302,18.41,,,
505,Primeira-2015,INTA Matagalpa,INTA Centro Sur,SJC 730-79,2016,B,A,Better,Worse,Worse,838,16.17,,,
506,Postrera-2015,BRT 103-182,SJC 730-79,INTA Centro Sur,2015,A,B,Better,Better,Worse,286,17.89,,,
507,Postrera-2015,INTA Centro Sur,SJC 730-79,INTA Fuerte Sequia,2015,A,B,Better,Worse,Worse,889,17.15666667,,,
508,Apante-2015,ALS 0532-6,PM2 Don Rey,INTA Fuerte Sequia,2015,B,C,Worse,Better,Better,291,18.55666667,,,
509,Postrera-2015,INTA Rojo,INTA Fuerte Sequia,INTA Centro Sur,2015,C,A,Better,Better,Worse,380,17.53666667,,,
510,Apante-2015,INTA Ferroso,INTA Precoz,BRT 103-182,2015,A,C,Better,Better,Worse,291,18.55666667,,,
511,Postrera-2015,INTA Ferroso,INTA Matagalpa,INTA Precoz,2015,B,C,Worse,Better,Worse,889,17.15666667,,,
512,Apante-2016,ALS 0532-6,INTA Rojo,BRT 103-182,2016,B,C,-9999,Better,-9999,298,19.00333333,,,
513,Apante-2016,PM2 Don Rey,INTA Ferroso,INTA Precoz,2016,C,A,-9999,-9999,Better,298,19.00333333,,,
514,Primeira-2015,PM2 Don Rey,INTA Fuerte Sequia,INTA Centro Sur,2016,A,C,Worse,Worse,Worse,1108,14.91666667,,,
515,Apante-2016,INTA Matagalpa,INTA Precoz,INTA Rojo,2016,A,C,Better,-9999,-9999,298,19.00333333,,,
516,Postrera-2015,INTA Matagalpa,PM2 Don Rey,INTA Centro Sur,2015,A,C,Better,Worse,Better,1054,15.39,,,
517,Postrera-2015,INTA Matagalpa,INTA Precoz,INTA Fuerte Sequia,2015,A,B,Better,Worse,Worse,317,17.12333333,,,
518,Apante-2016,INTA Rojo,PM2 Don Rey,INTA Fuerte Sequia,2016,A,C,Better,-9999,-9999,298,19.00333333,,,
519,Primeira-2015,INTA Precoz,INTA Fuerte Sequia,INTA Ferroso,2016,A,C,Worse,Worse,Worse,953,16.61666667,,,
520,Postrera-2015,INTA Fuerte Sequia,INTA Precoz,INTA Centro Sur,2015,B,C,Worse,Better,Worse,528,17.29,,,
521,Postrera-2015,PM2 Don Rey,INTA Ferroso,INTA Matagalpa,2015,B,A,Worse,Better,Better,528,17.29,,,
522,Postrera-2015,INTA Rojo,SJC 730-79,ALS 0532-6,2015,C,A,Worse,Worse,Better,528,17.29,,,
523,Postrera-2015,INTA Fuerte Sequia,BRT 103-182,INTA Centro Sur,2015,C,B,Better,Worse,Better,506,17.24333333,,,
524,Apante-2016,INTA Matagalpa,INTA Fuerte Sequia,PM2 Don Rey,2016,B,C,Better,Better,Worse,302,18.41,,,
525,Postrera-2015,INTA Matagalpa,SJC 730-79,BRT 103-182,2015,A,C,Better,Better,Worse,856,15.36333333,,,
526,Primeira-2015,SJC 730-79,INTA Ferroso,INTA Fuerte Sequia,2016,A,C,Worse,Worse,Worse,1009,16.66333333,,,
527,Apante-2015,INTA Centro Sur,BRT 103-182,INTA Ferroso,2015,C,A,Worse,Worse,Better,412,18.40333333,,,
528,Postrera-2015,SJC 730-79,INTA Centro Sur,INTA Rojo,2015,C,A,Worse,Worse,Better,566,17.48333333,,,
529,Primeira-2015,INTA Centro Sur,SJC 730-79,INTA Precoz,2016,A,C,Better,Worse,Worse,838,16.17,,,
530,Primeira-2015,ALS 0532-6,INTA Rojo,INTA Precoz,2016,A,C,Worse,Worse,Worse,838,16.17,,,
531,Postrera-2015,INTA Rojo,SJC 730-79,ALS 0532-6,2015,B,A,Worse,Worse,Worse,627,17.33,,,
532,Apante-2016,INTA Precoz,INTA Ferroso,INTA Matagalpa,2016,A,B,Better,-9999,-9999,1034,15.40333333,,,
533,Postrera-2015,INTA Precoz,BRT 103-182,INTA Rojo,2015,C,A,Worse,Better,Better,476,17.25,,,
